source	role	revision	tree_or_subtree	path	blob	sha256_or_packet
GT	primary-calculus	71714265062e3b45092c4d79927dfe2ed77dc5fa	71cb93395a369ce4305288e15b55eb724da0814f	gt4a-export-packet/source-blobs.tsv	-	203f1b54a02469160aee8771a109db77fb812b5bdecd0036c66d066db570d08a
ExecutionCustody	primary-calculus	9dca58f4587a4a4f5b724662b176af8de3040c04	7e2b27939bafe7a214085112af2777e395b1b94f	LeanProofs/BoundedCalculi/ExecutionCustody.lean	5b4b8d00700e8aea2fbe5c94d17e99cdc933a876	966d1f6f63d022b13a1ff031fe0558c99e6b2b304ba6f89550d632de14d18aef
SomeoneContinuity	primary-calculus	b00d76535ab6848eb2db80cb68601a07b118c4ef	07a6db31f70bab26c721c350446b69c1fb3b5d13	someone/Someone.lean	80a71ce18e55515a97567cc9d9f162fd23998ff7	efe928e1802218b879867199736fe5dbb5e8dfbddf68dcf09ef499e8077ead44
SomeoneQualification	ratified-prerequisite	99f3973aca420817ac4eb5a5a1282252326c32e7	843c274726c6094320093e879d6d6288f8a32743	formalization/docs/someone-continuity-qualification-2026-07-22/OPERATOR-RATIFICATION.md	-	521c437be1d7f2ac93d0dfded7b368158a339cad8ee004ffb29d41120848c3b9
OperationalContinuity	deferred-correspondence	-	-	/home/jbeck/git/continuity	-	NOT-INSPECTED-AS-FORCING-SOURCE
StaticRole	held-out	0dc621b782b0898152e325633cad1fbcb33b2f01	f7ff0342aacfc4f0998ebacfd2c3b6b95b748b98	StaticRole	-	NOT-INSPECTED-IN-PJ-0-OR-PJ-1
