private_name	public_name	kind	private_source_path	public_source_path	private_type_sha256	public_type_sha256	namespace_normalized_type_sha256	type_identity_after_namespace_normalization	axiom_footprint	private_value_sha256	public_value_sha256	namespace_normalized_value_sha256	proof_body_changed_beyond_namespace_elaboration
Someone.MagiTriad.recOn	Continuity.Admission.MagiTriad.recOn	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	c18eb36ea8bea25eed5ca44df3b5e5c3e9df494e878c02bc67276b66a26184df	8cfdd2e586e55f7131dde85d3d6f419023592ca271faaaf9d666dbd70442f855	a5aef57d765f7662f4cc0cb7d9569a6c268f8e573c8a523efa0eb0a70212a14d	true	AXIOM-FREE	ebd98238c829eec980193b2265277ee700ce909eca0c4e3010dffd366e4dbb42	e8d4793cfbfa17b6b9b08c7f502b1aa01cb7c6131c6d9e6fb4e0cc7880b8e80e	3090068506f6a5eb58e63e6963eb1bcbc249d163dfe9184cd78e772cdb0c8712	false
Someone.MontessoriCohort	Continuity.Admission.MontessoriCohort	inductive	someone/Someone.lean	formalization/Continuity/Admission.lean	b4611575b2b62eb57ff8b514cf96bf01666158b035ac2fcc89065136260d1e05	b4611575b2b62eb57ff8b514cf96bf01666158b035ac2fcc89065136260d1e05	b4611575b2b62eb57ff8b514cf96bf01666158b035ac2fcc89065136260d1e05	true	AXIOM-FREE	-	-	-	false
Someone.MontessoriCohort._sizeOf_1	Continuity.Admission.MontessoriCohort._sizeOf_1	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	800119d6f246da899651f08f36b4f09dc8beb30fd9fdefe4e87004aba5de8fd3	bc9ba5f4aadb6443ecf6a6f188bf8ee6b57693a67d73b8011645679afe254b46	8f5aae2fa92e2a8df32d211c49a509500047ddd04a5a843b8d1cf806619ba5d9	true	AXIOM-FREE	9ad61ceeb49f775758d8ed92eaabf8f038581f6e60ead950dc1c454ea526805b	9d4d6f81ac3d72fd126ee3ebde14fddc46849f2de7e04e53919074ade03418b5	33fb45840da35e4b920c90403ae6e20548bee84946c398f43cf14d3e1567af6c	false
Someone.MontessoriCohort._sizeOf_inst	Continuity.Admission.MontessoriCohort._sizeOf_inst	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	78b63fdded662846bf72c6e1ee00a960ab612cbbc11c0bf7c152eae0939c895b	a55b44da713e113eabe1e051dbdb28a6e7d787b40f7a0e6f503977a41c19d0b5	aacc7fcc7cb4e1132f24295bce77143ab097debf7a2cfa6f24cf51724ea3be25	true	AXIOM-FREE	6f9e6aafefe69a6cae6cdbc4a362e6d6e3c32af3f805d2a73da620cfdd6b367f	f9bf4937184f765acf960b3790d9e1db0a183227d5322b0997b3146fc1933488	e47646e354b0262ac209516c9ef2e064a85d499f282fa629462e792fd847d535	false
Someone.MontessoriCohort.casesOn	Continuity.Admission.MontessoriCohort.casesOn	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	56a9604063302d6849d25a7e0ed6c05b9fc2feb10d9932aa95e9ebd854857455	60d83f7c96196fec3e1878b065dfedb0e75d295068f8b733830f14787b220240	89173b1f7e3894c25b096df316879cb17be452ac65e12a768046858ea823ad22	true	AXIOM-FREE	b370a728fb8a83aeea69403d051a2cff0c64b077142373ba857fc95bad123b32	5b47f828dba8696df61ee232256188371e8de2620376bc0fbbcc0d0e3ab6a9d5	07daf19f19677baa2ce69faa4158b79a6e17432459b11811579297ebf51ae7c8	false
Someone.MontessoriCohort.ctorIdx	Continuity.Admission.MontessoriCohort.ctorIdx	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	800119d6f246da899651f08f36b4f09dc8beb30fd9fdefe4e87004aba5de8fd3	bc9ba5f4aadb6443ecf6a6f188bf8ee6b57693a67d73b8011645679afe254b46	8f5aae2fa92e2a8df32d211c49a509500047ddd04a5a843b8d1cf806619ba5d9	true	AXIOM-FREE	0098fc91f0ef8f25c8aefedde2cf478e94891c7f0b4a25b7952ccbeb8cefefa6	72551d7c7ae6bbf5225e93f4414235a5f194d078d6da7ca8abb8d8e665655913	e037918da77de7841a5549982641fd41a2cd0731225995c3f00cfebef53e5e49	false
Someone.MontessoriCohort.guide	Continuity.Admission.MontessoriCohort.guide	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	24e9841c883997cbe47f43c60b784285b15076eaaa9ecd5b7c25207d3f4abc99	bdcbfb54d2e11b6ade98f7549e0d0a973e3c285414811b4f6220bf6936d37cf4	92ccd6fbf08e8a53347435b473ba4e1d604d16d3c64e2d257d0d2c767d1c03dd	true	AXIOM-FREE	c21d98d56603be6fc229cfa5826f70a04c04fe3897cb7ba1381d3e823a67a1f6	f3bf990007a2dadd38fad2a7720173986171e81dfe1ddf8d458b55d1dc4183a7	4d19aba0653df9681d9e1bb3ba59f390037f512a494c85d3df87125d56fedc48	false
Someone.MontessoriCohort.materials	Continuity.Admission.MontessoriCohort.materials	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	925393a6724619d44251631d890b8320441a30bf5969e991673ccf3347b39c42	0ab899346b546f9fbfc288de62e416bd91361563f06d32c7967a92f98d77408a	09959dbec721569e742e3b6dc3d2efecb29092dc8d5226e3d6f5cccf638b2250	true	AXIOM-FREE	b8a14ee77c522aaa6e9897d6cee76bffcbe04dd262c5e5c433645a471e84f5a7	8de1c6350a6daff31d31a709b620f5d53c9c185229d18f29e5e87c2ef046a24e	92efddf39c2d2323fcf4bc5143f59242adf6eceb873b3bdb395467d5080fbc7c	false
Someone.MontessoriCohort.mk	Continuity.Admission.MontessoriCohort.mk	constructor	someone/Someone.lean	formalization/Continuity/Admission.lean	a59447a16b1f1c37f413f9a3b06e9629f9800c00147364b3244e79ba3dcbc9d2	fba28c2800b93e50bf2b51485b0757b7a7db0af7a8cd38bc2be71af3c9aaa8d5	6c21d8bf3aa06fb1792b842b4fbdfa6adc9641a8f510cdb8221646e002494fc3	true	AXIOM-FREE	-	-	-	false
Someone.MontessoriCohort.mk._flat_ctor	Continuity.Admission.MontessoriCohort.mk._flat_ctor	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	a59447a16b1f1c37f413f9a3b06e9629f9800c00147364b3244e79ba3dcbc9d2	fba28c2800b93e50bf2b51485b0757b7a7db0af7a8cd38bc2be71af3c9aaa8d5	6c21d8bf3aa06fb1792b842b4fbdfa6adc9641a8f510cdb8221646e002494fc3	true	AXIOM-FREE	31c5af668f14995fc6c734b8388225bac0880373f8a310527b9f63815bd0be44	aa43de173f37fc8d0ec7d95b2daef24732ea7a3f8a391e5d89665914e55ce8df	12743c24ee5f75ffdabcc99e54476487e036c39de16b561c75917e6fbce372fa	false
Someone.MontessoriCohort.mk.inj	Continuity.Admission.MontessoriCohort.mk.inj	theorem	someone/Someone.lean	formalization/Continuity/Admission.lean	4dc44e55e508196111d1e09e1559a728159f8f1fa62cf661a7029008b4515418	1ccbb1c529110e9c5ec5d9f93a523581ce16dfab7c43f0c56d5f4ccba9d6bef2	9c6671f94b5f8c01f0eafc1744e3cae1edf0e23acc748528e0325e28b4fe1557	true	AXIOM-FREE	229040e6c0feae9da2fb518367d0d57ea0861acb0d8047ce838b7da7acbbf6e3	caf572749a86b4f6a5f4f532e77706e9193d190fa7fcf0cfbfc947893a5381a7	2eab1df7a77a5d02b3ef305adf3fe8d940265cbf310dbd3d48ad54d9e8d773ac	false
Someone.MontessoriCohort.mk.injEq	Continuity.Admission.MontessoriCohort.mk.injEq	theorem	someone/Someone.lean	formalization/Continuity/Admission.lean	02b50c7ac3e92ac9143c791e3ebe21afd0f997c694d2bf5ed367f9044c6f229f	e94945c215bf1a9d926acc4abfc2f9483a5b2829f6a32755bada0e7cbcd6efee	d44b111cdaa094e3f94b0ad106574d6a3dd6dc8bbbe5521526edfe71bdda3428	true	[propext]	6d9fb980a2d9ef62e5031158ac68b91ad75477c11f9baac1911c3df4a2f426b8	2b99d4f9bd335163b1af30f8faca015534621159641ac717e0897f86d14f9e85	9145d1d79d993118e8a6f183cb3e6aed809e504a1ee956275f79e81207bbf785	false
Someone.MontessoriCohort.mk.noConfusion	Continuity.Admission.MontessoriCohort.mk.noConfusion	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	8fd7b755d6b859a86d1576cdb3034717248f6f9a1177e200a7f7ed2f4e18ad08	55a14e8f5a441a9b4411625d17788901279603bc360691f1ce5e5080afd8a1f7	a488ee9ddcd39a5e6214ff1ca99d6e648bf614e00c82a47e6a339350f1fe811e	true	AXIOM-FREE	54eac79fefe5b772bf91430ab2badd9f2f33d34191e5d9bae159dd4d067399c6	9a629a59d161a73571715d06b1cccac2a3122981d5a73b3028faf6c0b5b093a7	24310edcd890bfef10bd5dcc8061afad4f8a6f4b8dbaef065136dd5775ab5672	false
Someone.MontessoriCohort.mk.sizeOf_spec	Continuity.Admission.MontessoriCohort.mk.sizeOf_spec	theorem	someone/Someone.lean	formalization/Continuity/Admission.lean	4ba380653fa0fc8ff9eef6a9a36fde382f24e9295f7219ff04de45b1a5a8e870	beea555853e822ba90cbdad14e6c0074aa8ffecab46045870a32506a6858a2cc	1deba3492748bd80aad7ec10dedaf31e2d18dc41dad5df8caec3bdd951cc7aa7	true	AXIOM-FREE	e0ad910954ebe9a228000b7ec57ea5cdab8d9bd205ee80f03aba2e8912f917f4	4f8d53dd8cdddba709cbcef8480408b63c46e911bd416e8a8265bf58187b2b26	cac67a9a062a5e54302a6d6b5e9bced21f3a9a1768004e3a14c89419f07b2ee3	false
Someone.MontessoriCohort.noConfusion	Continuity.Admission.MontessoriCohort.noConfusion	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	95c2703898840f14f84d83ed8bf513dee891177d3e5961cac10503509d49bd17	9ab9dcd9059b02bf65d3ac28dd3466562ad776f696fdc54e2821857f672a685e	64bf41980f2da56fad688e1beec700d86956bcebbc729b42371c7d50a5d96721	true	AXIOM-FREE	d42487e8727a6ad6729f3782c33e9b7ad1cda9391795f96632ff7f61f9b820e2	9fe2952cdea2a68230f7b95557b9684fcca9de2c498e5d26867bfecc1928b72d	c74d35beb95ebc36b6e6adbe0cacf9174ec43edeeb8b9440f97e48e2dfc45d90	false
Someone.MontessoriCohort.noConfusionType	Continuity.Admission.MontessoriCohort.noConfusionType	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	33a4758ec4b96ae09132a786f2c79ee6c98b677f962df600d85005211a40e43f	8436fcb0efec6fecb3431091768e05736780b866a64ca353411f09cc8a49fdfa	dbf4ebec9f11025b6ee56dfefb0ac971d64c62008111128d5cfbd846990b0148	true	AXIOM-FREE	2008bd8516d129f10f213ebb9b84fa06697d94440c604f5ef1b424a38866b23d	ff5d1908d43be1379ebc349981e6dc9837de85abceb5231bd05a7bb0d21a26bc	72caa27f577cc00d79a9c68da7d1b0b67e7bb697a002a6a1f93b21e08a608688	false
Someone.MontessoriCohort.quorum	Continuity.Admission.MontessoriCohort.quorum	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	712e35257a42964c02239e6e7702b373e92301ff441bf1b37131be1a521055d0	ff33939c3111c47c4a9bae73fdfdf8bf991ed93292179827171b7d7b3ef6ad5a	d3ca64683017253d769168e78ac5748cb1f8949370c452bca262ebc1e4f5f336	true	AXIOM-FREE	61d0b2f93a478fdef16d2d48e0b0f8b768f276a7da9701e79d19b6144bb2fbd5	ef79d611fafaa8f83e3a63071a83a557efb3748b3ab44cba59e6871fbe435a6c	11d94ba703452cda708b177041101f239c7bc393c402fbf603299654691a9c86	false
